"titles" "years" "links" "rateCount" "rateValue" "genre" "director" "production" "time"
"Skazani na Shawshank " "1994" "/film/Skazani+na+Shawshank-1994-1048" 879653 "8,76" "Dramat" "  Frank Darabont " "USA" "2 godz. 22 min."
"Nietykalni " "2011" "/film/Nietykalni-2011-583390" 643270 "8,63" "Biograficzny  /  Dramat  /  Komedia" "  Olivier Nakache   /    Éric Toledano " "Francja" "1 godz. 52 min."
"Zielona mila " "1999" "/film/Zielona+mila-1999-862" 965447 "8,61" "Dramat" "  Frank Darabont " "USA" "3 godz. 8 min."
"Ojciec chrzestny " "1972" "/film/Ojciec+chrzestny-1972-1089" 517583 "8,59" "Dramat  /  Gangsterski" "  Francis Ford Coppola " "USA" "2 godz. 55 min."
"Dwunastu gniewnych ludzi " "1957" "/film/Dwunastu+gniewnych+ludzi-1957-30701" 208011 "8,55" "Dramat s¹dowy" "  Sidney Lumet " "USA" "1 godz. 36 min."
"Forrest Gump " "1994" "/film/Forrest+Gump-1994-998" 953444 "8,52" "Dramat  /  Komedia" "  Robert Zemeckis " "USA" "2 godz. 22 min."
"Lot nad kuku³czym gniazdem " "1975" "/film/Lot+nad+kuku%C5%82czym+gniazdem-1975-1019" 381666 "8,44" "Dramat  /  Psychologiczny" "  Miloš Forman " "USA" "2 godz. 13 min."
"Ojciec chrzestny II " "1974" "/film/Ojciec+chrzestny+II-1974-1090" 265525 "8,38" "Dramat  /  Gangsterski" "  Francis Ford Coppola " "USA" "3 godz. 20 min."
"Lista Schindlera " "1993" "/film/Lista+Schindlera-1993-1211" 351865 "8,33" "Dramat  /  Wojenny" "  Steven Spielberg " "USA" "3 godz. 15 min."
"W³adca Pierœcieni: Powrót króla " "2003" "/film/W%C5%82adca+Pier%C5%9Bcieni%3A+Powr%C3%B3t+kr%C3%B3la-2003-11841" 501229 "8,33" "Fantasy  /  Przygodowy" "  Peter Jackson " "Nowa Zelandia  /  USA" "3 godz. 21 min."
"Pulp Fiction " "1994" "/film/Pulp+Fiction-1994-1039" 637823 "8,32" "Gangsterski" "  Quentin Tarantino " "USA" "2 godz. 34 min."
"Joker " "2019" "/film/Joker-2019-810167" 229150 "8,31" "Dramat  /  Krymina³" "  Todd Phillips " "Kanada  /  USA" "2 godz. 2 min."
"¯ycie jest piêkne " "1997" "/film/%C5%BBycie+jest+pi%C4%99kne-1997-208" 271973 "8,29" "Dramat  /  Komedia  /  Wojenny" "  Roberto Benigni " "W³ochy" "1 godz. 56 min."
"Siedem " "1995" "/film/Siedem-1995-702" 579258 "8,27" "Krymina³  /  Thriller" "  David Fincher " "USA" "2 godz. 7 min."
"W³adca Pierœcieni: Dwie wie¿e " "2002" "/film/W%C5%82adca+Pier%C5%9Bcieni%3A+Dwie+wie%C5%BCe-2002-31451" 482476 "8,26" "Fantasy  /  Przygodowy" "  Peter Jackson " "Nowa Zelandia  /  USA" "2 godz. 59 min."
"Podziemny kr¹g " "1999" "/film/Podziemny+kr%C4%85g-1999-837" 586913 "8,25" "Thriller  /  Psychologiczny" "  David Fincher " "Niemcy  /  USA" "2 godz. 19 min."
"Ch³opcy z ferajny " "1990" "/film/Ch%C5%82opcy+z+ferajny-1990-1033" 288207 "8,24" "Dramat  /  Gangsterski" "  Martin Scorsese " "USA" "2 godz. 26 min."
"Pianista " "2002" "/film/Pianista-2002-32225" 578745 "8,23" "Biograficzny  /  Dramat  /  Wojenny" "  Roman Polañski " "Francja  /  Niemcy  /  Polska  /  Wielka Brytania" "2 godz. 30 min."
"Piêkny umys³ " "2001" "/film/Pi%C4%99kny+umys%C5%82-2001-31864" 481897 "8,23" "Biograficzny  /  Dramat" "  Ron Howard " "USA" "2 godz. 15 min."
"Incepcja " "2010" "/film/Incepcja-2010-500891" 583696 "8,22" "Surrealistyczny  /  Thriller  /  Sci-Fi" "  Christopher Nolan " "USA  /  Wielka Brytania" "2 godz. 28 min."
